src/features/ai-assistant/services/admin-model-service.ts(43,11): error TS6133: '_firestore' is declared but its value is never read.
src/features/ai-assistant/services/admin-model-service.ts(45,11): error TS6133: '_metrics' is declared but its value is never read.
src/features/ai-assistant/services/admin-model-service.ts(46,11): error TS6133: '_modelManagementService' is declared but its value is never read.
src/features/ai-assistant/services/system-analytics-service.ts(1041,11): error TS6133: '_metrics' is declared but its value is never read.
src/features/credit-system/services/ai-credit-service.ts(168,10): error TS2341: Property 'firestore' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(287,26): error TS2341: Property 'categorizeError' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(351,31): error TS2341: Property 'firestore' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(384,18): error TS2341: Property 'firestore' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(391,18): error TS2341: Property 'firestore' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(419,26): error TS2341: Property 'categorizeError' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(436,31): error TS2341: Property 'firestore' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(443,39): error TS2341: Property 'firestore' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(450,40): error TS2341: Property 'firestore' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(464,45): error TS2341: Property 'firestore' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(501,41): error TS2341: Property 'firestore' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(680,18): error TS2341: Property 'firestore' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(708,20): error TS2341: Property 'firestore' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(761,35): error TS2341: Property 'firestore' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(790,45): error TS2341: Property 'firestore' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(881,18): error TS2341: Property 'firestore' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(883,12): error TS2339: Property 'logger' does not exist on type 'AICreditService'.
src/features/credit-system/services/ai-credit-service.ts(885,12): error TS2339: Property 'logger' does not exist on type 'AICreditService'.
src/features/credit-system/services/ai-credit-service.ts(899,18): error TS2341: Property 'firestore' is private and only accessible within class 'CreditService'.
src/features/credit-system/services/ai-credit-service.ts(904,12): error TS2339: Property 'logger' does not exist on type 'AICreditService'.
src/features/credit-system/services/ai-credit-service.ts(906,12): error TS2339: Property 'logger' does not exist on type 'AICreditService'.
